,x,y,z
591,0.000393,0.000735,0.000393
592,-0.001026,-0.000751,-0.001026
593,0.000568,0.002023,0.000568
594,0.001824,0.000598,0.001824
595,-0.001787,0.00045,-0.001787
596,0.0015,-0.000338,0.0015
597,0.001269,0.000313,0.001269
598,-0.003475,-0.00125,-0.003475
599,0.001231,0.000944,0.001231
600,0.002761,0.001209,0.002761
601,-0.003846,-0.001154,-0.003846
602,0.002467,-0.000188,0.002467
603,0.001801,0.000314,0.001801
604,-0.002998,-0.000311,-0.002998
605,0.001539,0.000407,0.001539
606,0.002368,-2.8e-05,0.002368
607,-0.003423,0.000128,-0.003423
608,0.001876,-0.000115,0.001876
609,0.002199,-0.000688,0.002199
610,-0.003359,-0.001469,-0.003359
611,0.001179,0.000128,0.001179
612,0.000607,0.000351,0.000607
613,-0.002195,-0.000628,-0.002195
614,0.001321,0.000143,0.001321
615,0.001243,0.000448,0.001243
616,-0.003045,-0.000573,-0.003045
617,0.000544,0.000893,0.000544
618,0.00048,-0.000153,0.00048
619,1.1e-05,-0.000487,1.1e-05
620,-0.000719,-0.000533,-0.000719
621,0.001201,-0.000384,0.001201
622,-0.00168,0.000616,-0.00168
623,-0.000237,0.000522,-0.000237
624,-0.000298,0.000358,-0.000298
625,-0.000819,0.000863,-0.000819
626,0.000159,-0.000946,0.000159
627,0.001008,0.000389,0.001008
628,-0.000926,0.000119,-0.000926
629,0.000428,1.3e-05,0.000428
630,-0.001126,-0.000691,-0.001126
631,0.001316,-0.000205,0.001316
632,-0.000724,-0.000875,-0.000724
633,0.0023,-0.001323,0.0023
634,-0.001206,-0.000259,-0.001206
635,0.001243,-0.000376,0.001243
636,-0.00144,-0.000119,-0.00144
637,-0.000293,0.001117,-0.000293
638,0.000662,-0.000427,0.000662
639,-0.000106,-0.000175,-0.000106
640,-0.000781,-0.00052,-0.000781
641,0.001636,8.7e-05,0.001636
642,-0.002273,-0.000345,-0.002273
643,0.002117,0.000197,0.002117
644,0.00033,-0.000309,0.00033
645,-9e-06,0.000337,-9e-06
646,0.000651,-0.000613,0.000651
647,0.001086,-0.000573,0.001086
648,-0.0018,-0.000772,-0.0018
649,0.002388,0.000485,0.002388
650,-0.00209,-0.000234,-0.00209
651,0.001971,1.3e-05,0.001971
652,-0.001828,0.001345,-0.001828
653,0.001093,0.000219,0.001093
