Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675378073.3180802,30,224753,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224753.0,19,T
1675378074.3194387,31,224754,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224754.0,19,T
1675378075.3239918,32,224755,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224755.0,19,T
1675378076.3191354,33,224756,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224756.0,19,T
1675378077.319494,34,224757,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224757.0,19,T
1675378078.3190618,35,224758,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224758.0,19,T
1675378079.3194125,36,224759,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224759.0,19,T
1675378080.3210254,37,224800,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224800.0,19,T
1675378081.3198352,38,224801,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224801.0,19,T
1675378082.3192408,39,224802,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224802.0,19,T
1675378083.3192315,40,224803,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224803.0,19,T
1675378084.3181076,41,224804,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224804.0,19,T
1675378085.3192909,42,224805,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224805.0,19,T
1675378086.3207493,43,224806,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224806.0,19,T
1675378087.3195426,44,224807,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224807.0,19,T
1675378088.3189807,45,224808,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224808.0,19,T
1675378089.3193336,46,224809,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224809.0,19,T
1675378090.3195856,47,224810,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224810.0,19,T
1675378091.3190148,48,224811,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224811.0,19,T
1675378092.319088,49,224812,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224812.0,19,T
1675378093.318973,50,224813,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224813.0,19,T
1675378094.3195465,51,224814,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224814.0,19,T
1675378095.3191323,52,224815,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224815.0,19,T
1675378096.3186734,53,224816,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224816.0,19,T
1675378097.3193948,54,224817,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224817.0,19,T
1675378098.3196778,55,224818,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224818.0,19,T
1675378099.3189301,56,224819,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224819.0,19,T
1675378100.3190997,57,224820,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224820.0,19,T
1675378101.3194735,58,224821,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224821.0,19,T
1675378102.3192112,59,224822,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224822.0,19,T
1675378103.3189254,60,224823,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224823.0,19,T
1675378104.321319,61,224824,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224824.0,19,T
